# key	tradition	status	confidence	links	devanagari  (auto-generated by build_graph.py — do not hand-edit)
abhidharma	Buddhist	converged	medium	14	अभिधर्म (Pali: abhidhamma)
abhidharmakosa	Buddhist (Sarvāstivāda-Vaibhāṣika / Sautrāntika)	converged	medium	6	
abhinavagupta	Hindu (Kashmir Śaivism — Trika); Sanskrit aesthetics	contested	medium	10	अभिनवगुप्त
academic-skepticism	Greek (Middle and New Academy; Arcesilaus, Carneades)	converged	medium	8	
acarya	Jain	converged	medium	10	आचार्य
adharma-dravya	Jain	converged	medium	7	अधर्मास्तिकाय
advaita-vedanta	Vedānta (Advaita; āstika darśana)	converged	medium	37	अद्वैत वेदान्त
aghati-karma	Jain	converged	medium	9	अघाति-कर्म
agni	Vedic / Hindu	converged	medium	14	अग्नि
agni-ayurveda	Āyurveda	converged	medium	11	अग्नि
ahimsa	Jain	converged	medium	29	अहिंसा
ahimsa-buddhist	Buddhist	converged	medium	12	अहिंसा (बौद्ध)
ahimsa-vedic	Hindu (Vedic–Purāṇic–Yoga)	converged	medium	8	अहिंसा
ahura-mazda	Zoroastrian / Avestan (Iranian)	contested	medium	9	
airavata	Hindu (epic / Purāṇic); also Jain	converged	medium	4	ऐरावत
ajiva	Jain	converged	medium	10	अजीव
ajivika	Ājīvika (śramaṇa)	converged	medium	7	आजीविक
akasha-dravya	Jain	converged	medium	10	आकाशास्तिकाय
alaya-vijnana	Buddhist (Yogācāra)	converged	medium	15	आलयविज्ञान
amalananda	Advaita Vedānta (Bhāmatī-prasthāna; with a Vivaraṇa-side work)	converged	medium	10	
ammonius-saccas	Neoplatonism (Greek; Alexandrian)	blocked	low	3	
amrita	Hindu (Vedic → epic/Purāṇic); reused in Buddhism	converged	medium	6	अमृत
anatta-buddhist	Buddhist	contested	medium	19	अनात्मन् (Pali: anattā)
anekantavada	Jain	contested	medium	32	अनेकान्तवाद
anicca	Buddhist	converged	medium	9	अनिच्च (Pāli)
anumana-nyaya	Nyāya-Vaiśeṣika	converged	medium	7	अनुमान (न्याय)
anuvrata	Jain	converged	medium	11	अणुव्रत
aparigraha	Jain	converged	medium	21	अपरिग्रह
apoha	Buddhist (Dignāga-Dharmakīrti school)	converged	medium	15	अपोह
appayya-dikshita	Advaita Vedānta (Bhāmatī continuation) and Śivādvaita Vedānta (founder)	contested	medium	13	
arhat	Buddhist (Theravāda; Pali tradition)	converged	medium	8	अरहंत
arihant	Jain	converged	medium	16	अरिहंत
aristotle-categories	Greek (Aristotle, ~4th c. BCE)	converged	medium	9	
aristotle-ethics	Greek (Peripatetic)	converged	medium	13	
aristotle-logic	Greek	converged	medium	18	
aristotle-substance	Greek (Aristotelian)	converged	medium	19	~
arthapatti	Mīmāṃsā (Bhāṭṭa school)	converged	medium	7	अर्थापत्ति
aruna	Hindu (Vedic-Purāṇic; solar mythology)	converged	medium	6	अरुण
asanga	Buddhist (Mahāyāna; Yogācāra / Vijñānavāda)	converged	medium	5	असङ्ग
asatkaryavada	Nyāya-Vaiśeṣika	converged	medium	6	असत्कार्यवाद
asrava	Jain	converged	medium	11	आस्रव
asteya	Jain	converged	medium	7	अस्तेय
astikaya	Jain	converged	medium	9	अस्तिकाय
atman-vedanta	Vedanta	converged	medium	27	आत्मन् (वेदान्त)
atri	Hindu (Vedic → epic/Purāṇic)	contested	medium	9	अत्रि
avadhi-jnana	Jain	converged	medium	8	अवधिज्ञान
avatara-vedanta	Vedanta	converged	medium	35	अवतार
ayurveda	Hindu (Vedic-derived medical/scientific tradition)	converged	medium	13	आयुर्वेद
badarayana	Vedānta (Uttara-Mīmāṃsā)	contested	medium	4	बादरायण
balarama	Hindu (Vaiṣṇava) — and Jain (as Baladeva, a śalākāpuruṣa)	contested	medium	12	बलराम
bali	Hindu (Vaiṣṇava / Puranic; Kerala regional/devotional)	contested	medium	6	बलि
bandha	Jain	converged	medium	16	बन्ध
bhakti	cross-tradition (Vedānta, Vaiṣṇava, also Jain and Buddhist parallels)	converged	medium	19	भक्ति
bodhicitta	Buddhist (Mahāyāna)	converged	medium	11	बोधिचित्त
bodhisattva	Buddhist (Mahāyāna; also Theravāda antecedent)	converged	medium	14	बोधिसत्त्व
